zhuo4 zhuò
nang3 nǎng
nang2 náng
nang1 nāng
nang5 nang
nang0
nang
nan4 nàn
nan3 nǎn
nan2 nán
nan1 nān
nan5 nan
nan0
nan
nai4 nài
nai3 nǎi
nai2 nái
nai1 nāi
nai5 nai
nai0
nai
na4 nà
na3 nǎ
na2 ná
na1 nā
na5 na
na0
na
mu4 mù
mu3 mǔ
mu2 mú
mu1 mū
mu5 mu
mu0
mu
mou4 mòu
mou3 mǒu
mou2 móu
mou1 mōu
mou5 mou
mou0
mou
mo4 mò
mo3 mǒ
mo2 mó
mo1 mō
mo5 mo
mo0
mo
miu4 miù
miu3 miǔ
miu2 miú
miu1 miū
miu5 miu
miu0
miu
ming4 mìng
ming3 mǐng
ming2 míng
ming1 mīng
ming5 ming
ming0
ming
min4 mìn
min3 mǐn
min2 mín
min1 mīn
min5 min
min0
min
mie4 miè
mie3 miě
mie2 mié
mie1 miē
mie5 mie
mie0
mie
miao4 miào
miao3 miǎo
miao2 miáo
miao1 miāo
miao5 miao
miao0
miao
mian4 miàn
mian3 miǎn
mian2 mián
mian1 miān
mian5 mian
mian0
mian
mi4 mì
mi3 mǐ
mi2 mí
mi1 mī
mi5 mi
mi0
mi
meng4 mèng
meng3 měng
meng2 méng
meng1 mēng
meng5 meng
meng0
meng
men4 mèn
men3 měn
men2 mén
men1 mēn
men5 men
men0
men
mei4 mèi
mei3 měi
mei2 méi
mei1 mēi
mei5 mei
mei0
mei
me4 mè
me3 mě
me2 mé
me1 mē
me5 me
me0
me
mao4 mào
mao3 mǎo
mao2 máo
mao1 māo
mao5 mao
mao0
mao
mang4 màng
mang3 mǎng
mang2 máng
mang1 māng
mang5 mang
mang0
mang
man4 màn
man3 mǎn
man2 mán
man1 mān
man5 man
man0
man
mai4 mài
mai3 mǎi
mai2 mái
mai1 māi
mai5 mai
mai0
mai
ma4 mà
ma3 mǎ
ma2 má
ma1 mā
ma5 ma
ma0
ma
lu:n4 lǜn
lün4
lu:n3 lǚn
lün3
lu:n2 lǘn
lün2
lu:n1 lǖn
lün1
lu:n5 lün
lu:n0
lu:n
lün5
lün0
lün
lu:an4 lüàn
lüan4
lu:an3 lüǎn
lüan3
lu:an2 lüán
lüan2
lu:an1 lüān
lüan1
lu:an5 lüan
lu:an0
lu:an
lüan5
lüan0
lüan
lyu4 lǜ
lv4
lu:4
lü4
lyu3 lǚ
lv3
lu:3
lü3
lyu2 lǘ
lv2
lu:2
lü2
lyu1 lǖ
lv1
lu:1
lü1
lyu5 lü
lyu0
lyu
lv5
lv0
lv
lu:5
lu:0
lu:
lü5
lü0
lü
luo4 luò
luo3 luǒ
luo2 luó
luo1 luō
luo5 luo
luo0
luo
lun4 lùn
lun3 lǔn
lun2 lún
lun1 lūn
lun5 lun
lun0
lun
lue4 luè
lue3 luě
lue2 lué
lue1 luē
lue5 lue
lue0
lue
luan4 luàn
luan3 luǎn
luan2 luán
luan1 luān
luan5 luan
luan0
luan
lu4 lù
lu3 lǔ
lu2 lú
lu1 lū
lu5 lu
lu0
lu
lou4 lòu
lou3 lǒu
lou2 lóu
lou1 lōu
lou5 lou
lou0
lou
long4 lòng
long3 lǒng
long2 lóng
long1 lōng
long5 long
long0
long
liu4 liù
liu3 liǔ
liu2 liú
liu1 liū
liu5 liu
liu0
liu
ling4 lìng
ling3 lǐng
ling2 líng
ling1 līng
ling5 ling
ling0
ling
lin4 lìn
lin3 lǐn
lin2 lín
lin1 līn
lin5 lin
lin0
lin
lie4 liè
lie3 liě
lie2 lié
lie1 liē
lie5 lie
lie0
lie
liao4 liào
liao3 liǎo
liao2 liáo
liao1 liāo
liao5 liao
liao0
liao
liang4 liàng
liang3 liǎng
liang2 liáng
liang1 liāng
liang5 liang
liang0
liang
lian4 liàn
lian3 liǎn
lian2 lián
lian1 liān
lian5 lian
lian0
lian
lia4 lià
lia3 liǎ
lia2 liá
lia1 liā
lia5 lia
lia0
lia
li4 lì
li3 lǐ
li2 lí
li1 lī
li5 li
li0
li
leng4 lèng
leng3 lěng
leng2 léng
leng1 lēng
leng5 leng
leng0
leng
lei4 lèi
lei3 lěi
lei2 léi
lei1 lēi
lei5 lei
lei0
lei
le4 lè
le3 lě
le2 lé
le1 lē
le5 le
le0
le
lao4 lào
lao3 lǎo
lao2 láo
lao1 lāo
lao5 lao
lao0
lao
lang4 làng
lang3 lǎng
lang2 láng
lang1 lāng
lang5 lang
lang0
lang
lan4 làn
lan3 lǎn
lan2 lán
lan1 lān
lan5 lan
lan0
lan
lai4 lài
lai3 lǎi
lai2 lái
lai1 lāi
lai5 lai
lai0
lai
la4 là
la3 lǎ
la2 lá
la1 lā
la5 la
la0
la
kuo4 kuò
kuo3 kuǒ
kuo2 kuó
kuo1 kuō
kuo5 kuo
kuo0
kuo
kun4 kùn
kun3 kǔn
kun2 kún
kun1 kūn
kun5 kun
kun0
kun
kui4 kuì
kui3 kuǐ
kui2 kuí
kui1 kuī
kui5 kui
kui0
kui
kuang4 kuàng
kuang3 kuǎng
kuang2 kuáng
kuang1 kuāng
kuang5 kuang
kuang0
kuang
kuan4 kuàn
kuan3 kuǎn
kuan2 kuán
kuan1 kuān
kuan5 kuan
kuan0
kuan
kuai4 kuài
kuai3 kuǎi
kuai2 kuái
kuai1 kuāi
kuai5 kuai
kuai0
kuai
kua4 kuà
kua3 kuǎ
kua2 kuá
kua1 kuā
kua5 kua
kua0
kua
ku4 kù
ku3 kǔ
ku2 kú
ku1 kū
ku5 ku
ku0
ku
kou4 kòu
kou3 kǒu
kou2 kóu
kou1 kōu
kou5 kou
kou0
kou
kong4 kòng
kong3 kǒng
kong2 kóng
kong1 kōng
kong5 kong
kong0
kong
keng4 kèng
keng3 kěng
keng2 kéng
keng1 kēng
keng5 keng
keng0
keng
ken4 kèn
ken3 kěn
ken2 kén
ken1 kēn
ken5 ken
ken0
ken
ke4 kè
ke3 kě
ke2 ké
ke1 kē
ke5 ke
ke0
ke
kao4 kào
kao3 kǎo
kao2 káo
kao1 kāo
kao5 kao
kao0
kao
kang4 kàng
kang3 kǎng
kang2 káng
kang1 kāng
kang5 kang
kang0
kang
kan4 kàn
kan3 kǎn
kan2 kán
kan1 kān
kan5 kan
kan0
kan
kai4 kài
kai3 kǎi
kai2 kái
kai1 kāi
kai5 kai
kai0
kai
ka4 kà
ka3 kǎ
ka2 ká
ka1 kā
ka5 ka
ka0
ka
jun4 jùn
jun3 jǔn
jun2 jún
jun1 jūn
jun5 jun
jun0
jun
jue4 juè
jue3 juě
jue2 jué
jue1 juē
jue5 jue
jue0
jue
juan4 juàn
juan3 juǎn
juan2 juán
juan1 juān
juan5 juan
juan0
juan
ju4 jù
ju3 jǔ
ju2 jú
ju1 jū
ju5 ju
ju0
ju
jiu4 jiù
jiu3 jiǔ
jiu2 jiú
jiu1 jiū
jiu5 jiu
jiu0
jiu
jiong4 jiòng
jiong3 jiǒng
jiong2 jióng
jiong1 jiōng
jiong5 jiong
jiong0
jiong
jing4 jìng
jing3 jǐng
jing2 jíng
jing1 jīng
jing5 jing
jing0
jing
jin4 jìn
jin3 jǐn
jin2 jín
jin1 jīn
jin5 jin
jin0
jin
jie4 jiè
jie3 jiě
jie2 jié
jie1 jiē
jie5 jie
jie0
jie
jiao4 jiào
jiao3 jiǎo
jiao2 jiáo
jiao1 jiāo
jiao5 jiao
jiao0
jiao
jiang4 jiàng
jiang3 jiǎng
jiang2 jiáng
jiang1 jiāng
jiang5 jiang
jiang0
jiang
jian4 jiàn
jian3 jiǎn
jian2 jián
jian1 jiān
jian5 jian
jian0
jian
jia4 jià
jia3 jiǎ
jia2 jiá
jia1 jiā
jia5 jia
jia0
jia
ji4 jì
ji3 jǐ
ji2 jí
ji1 jī
ji5 ji
ji0
ji
huo4 huò
huo3 huǒ
huo2 huó
huo1 huō
huo5 huo
huo0
huo
hun4 hùn
hun3 hǔn
hun2 hún
hun1 hūn
hun5 hun
hun0
hun
hui4 huì
hui3 huǐ
hui2 huí
hui1 huī
hui5 hui
hui0
hui
huang4 huàng
huang3 huǎng
huang2 huáng
huang1 huāng
huang5 huang
huang0
huang
huan4 huàn
huan3 huǎn
huan2 huán
huan1 huān
huan5 huan
huan0
huan
huai4 huài
huai3 huǎi
huai2 huái
huai1 huāi
huai5 huai
huai0
huai
hua4 huà
hua3 huǎ
hua2 huá
hua1 huā
hua5 hua
hua0
hua
hu4 hù
hu3 hǔ
hu2 hú
hu1 hū
hu5 hu
hu0
hu
hou4 hòu
hou3 hǒu
hou2 hóu
hou1 hōu
hou5 hou
hou0
hou
hong4 hòng
hong3 hǒng
hong2 hóng
hong1 hōng
hong5 hong
hong0
hong
heng4 hèng
heng3 hěng
heng2 héng
heng1 hēng
heng5 heng
heng0
heng
hen4 hèn
hen3 hěn
hen2 hén
hen1 hēn
hen5 hen
hen0
hen
hei4 hèi
hei3 hěi
hei2 héi
hei1 hēi
hei5 hei
hei0
hei
he4 hè
he3 hě
he2 hé
he1 hē
he5 he
he0
he
hao4 hào
hao3 hǎo
hao2 háo
hao1 hāo
